,h_sales_code_hash,sales_code
378,8dc9077baafcd4b1b61f24af2b6e25741ab557aa,K7N
379,6353f15288ec251611b37ba2837f44c693dfa10e,K2X
380,bd09372e6c71f445a46e2ced0fb893bcbb394712,P4W
381,c50ee611b9f6a0d5ed468476dbe18b440b637215,D3D
382,aece9dd337812a296d9718baa578d6754c5df20f,C7Z
383,11a365cadae7bc9fff0ca4d43974f7a9fb0cb09d,L2M
385,7b3f50a97efae643a01daf375951564de92a3234,V1B
386,40a0ece513d696be0872b048f02500f77529c060,Q5A
387,b1ad27c018b21ce58cfcda138a98238570bbabfb,A1D
388,6b9fbbd4072e43b3920c8a6694de12cb903f5e75,Y4W
389,4bfd82a94fcdd04e07f6a2113ee72a1ffcaa5ba7,Z2N
390,3ca89378dfd34026139048403580228c79893c59,C4R
391,c14feab2658ee115c13a42492175a92c23b5e106,F5N
392,b648c29828de84f3e4c824a04d09679c81bf288f,J9F
393,fc89a8a4dcf452363c0f0b70d41e4dd9ffb3f479,K1U
394,a01b36d776e1dd0ae379d04d82228819cdabeaff,N4N
395,08f595846d35ef022b3fc353c69139a916885627,U3Y
396,042b31192ecc4ac8098ce66c791b549376628254,E9J
397,0399c80465dd51c1259520a20e6ccd1e7dea26ab,X9V
398,d9eb53890289f88341fb7fa3cc457064298bfbc6,V7G
399,5fa5fbb153c6fa827d2eee9b6e00d6c13d812d8d,K7B
400,725d475198fcadc8145515f9fecbc7e5722edf87,Y3F
401,8b28eb9ce87042b528ed272419f644524c6315da,O0I
402,64466262619cec7d099e713a753dcf683171c480,W3D
403,9985dd84dcc16b2304ecf969d5d2eed740d3cc18,A4Z
404,8405b26d017f8d9de523b10200326091a491e2ee,O7S
407,e3e9137ce475e345b30673241a4a415cd388a702,W5V
408,3bd098a0f247545af5163fb5e3b035d3d0211133,S9X
409,13415a240ed33b86434bdc05774b70532f9d1f21,P6H
410,43ee24d8d39f28e08f47dd3928b70a78cb4866b1,K8Z
411,be9eacdbe0cf852bfb9264a4b3852dc672b414e0,C1P
412,ad6d8711f1647487e87c03e6542d163b5b281a0e,E1P
413,7b45a58c59b67a935466c5a2e2635fc597311cdb,C9Y
414,c216f194dda7f5bff3dbcd65792f28aabd72b0c1,A6I
415,fcf8139cf73702b7f652cf77c842ce1036c7f6a2,V1Y
417,b5f9e104024f0858db2e97a9a9296f87b08eb474,T4C
418,a50f2e9752ae55cb581712ff265aae9a9e0320f9,G5H
419,9176da521e07bb9e8a1075e89df9f8b818fadc28,I5P
420,5726a037f454fee1f067f00b18fcb57f7764f2c4,R0T
421,cce44a184b87f24862214b0acda5b644da9a35d8,V7R
422,9ef21c0d4776861c905ade390f757617c95f64a0,R7H
423,de2d64c44ddf70c53c2eb4dd740e2282a500239f,F3H
424,9ffc64e0b2e2b3e49f7dc9d1b823b93bbc6cab71,V0X
425,b039079c15872f504bf6e9739e97d69264f801a4,M0X
426,cac6bb7406c83117450f1cd437719a33824ddb5a,C6O
427,c0e13a57ab77bbd2869fa697b154dfbb106bdd54,Y4J
428,895c30e508466aa683313685a103433f1c3a67db,I6Y
429,8388def7654d2dbdefa354ec0cc568cdaea50d29,I1W
